,success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
794,True,49.863253,16.755088,0.111901,0.099261,0.0321355819702148,35.292288891474406,858.9829877018929,2.633183774352074,1.3196065840311348,1.072696598712355,153,/tmp/ShineRunner-c5f8cdb7-3d41-4192-8262-fd907030cf91,0
795,True,36.351023,12.331097,0.015166,0.013612,0.0325469255447387,33.164729936917624,657.8261665999889,3.96547402702272,1.4200543989427388,0.9584002655930818,728,/tmp/ShineRunner-6c980157-e017-4d0c-b421-b865cb939cee,0
796,True,41.600802,12.990141,0.026101,0.0242,0.0033478379249572,25.616184341907505,748.0934513732791,3.8605274766683584,1.2073114421218634,1.004227707348764,976,/tmp/ShineRunner-14cc16f1-f581-4a17-a04a-60f38c9fdda1,0
797,True,49.881063,15.688452,0.031571,0.028749,0.0167127132415771,27.15897804101308,635.6520089320838,3.3147950645536186,1.2643411313183606,1.2029424387030303,968,/tmp/ShineRunner-0c377b9f-5c14-4aa4-bcd7-96a789a3a7cb,0
798,True,48.571658,15.263949,0.08341,0.084752,0.0218650221824646,33.564659555753074,972.1149699762464,3.276393182575703,1.1242341022007167,1.0446970569901168,746,/tmp/ShineRunner-9bc59f63-0b8c-427a-90bc-f6b5de094718,0
799,True,63.961828,19.085427,0.124803,0.127856,0.0220366199811299,27.52248414357503,699.4615150615573,2.2054913181811573,1.0118116498924792,1.3353161566890777,927,/tmp/ShineRunner-13f13690-a168-4f45-a5b5-40fbc4adaed6,0
800,True,53.955914,15.568306,0.161636,0.150959,0.0462864120801289,32.77622629006704,582.4961508624256,1.785638174787164,1.096318035852164,0.8427797622978688,755,/tmp/ShineRunner-3dbd9338-a25b-49c6-b313-fbefa30cb399,0
801,True,52.707311,17.126935,0.013612,0.009312,0.0301690856615702,26.05835465192795,652.5359470397234,4.132184377312661,1.3214803654700518,1.4971274023875594,1064,/tmp/ShineRunner-8047ee71-d806-4b72-b9f2-224b90fab146,0
802,True,43.671408,12.626257,0.059443,0.055891,0.0200254360834757,27.29295198917389,731.3655568286777,3.156164269894362,1.0838889530859888,0.8870093665085733,944,/tmp/ShineRunner-48c5ccfa-19b2-40cc-8ba7-76d6a7c51549,0
803,True,42.700285,13.674661,0.056782,0.049791,0.0472150961558024,27.261606164773305,593.7507208436728,2.6842588223516946,1.3570221648551524,0.901402121502906,963,/tmp/ShineRunner-2fa5ff4f-9a01-429c-8466-43032d611dd2,0
804,True,41.600802,12.990141,0.02856,0.026669,0.0619984626770019,33.554433790842694,748.0934513732791,3.8605274766683584,1.2073114421218634,1.004227707348764,720,/tmp/ShineRunner-4cc3f1d8-d715-4846-b8cd-39c2698398c7,0
805,True,46.084276,14.361132,0.016909,0.015554,0.0308208664258321,28.69187079668045,913.8889363966882,4.98620835877955,1.106284693814814,1.2017450387589634,834,/tmp/ShineRunner-ed7a25ca-5e5a-4784-8c91-bc8b02c19c5c,0
806,True,54.627402,17.066855,0.050873,0.045255,0.0782900214195251,33.82556350628535,853.3449782989919,3.5418673507869247,1.140754190273583,1.32636416843161,742,/tmp/ShineRunner-ad08b207-da36-4aea-8d82-a71ab930a19c,0
807,True,41.498818,12.284824,0.010097,0.009705,0.078356659412384,26.249041946729022,534.0989222750068,3.910991117730737,1.1651106565259397,1.0112426447682084,1044,/tmp/ShineRunner-243e6803-e12b-4224-ba7c-9bce31a88bf8,0
808,True,33.348757,9.998262,0.013807,0.013028,0.0783624013264974,27.555636409918467,618.4342592023313,4.031424642726779,1.270797049626708,0.8186413541436196,924,/tmp/ShineRunner-0a3ff687-67bf-498f-bb19-a5c4258ef265,0
810,True,49.322288,14.940733,0.02439,0.021335,0.0395734548568725,27.590372355779014,599.8927499167621,3.421337379515172,1.1825565239414573,1.1686344261281192,956,/tmp/ShineRunner-41013ce2-f0b4-4ce8-a800-65f6f48e1231,0
811,True,48.138152,14.938845,0.141926,0.141484,0.0442435105641682,28.64282691876093,821.3193430565298,2.301038368418813,1.1971415858715773,0.8776782051660121,713,/tmp/ShineRunner-5deb114f-0c35-4379-9532-4fff76378836,0
812,True,47.879843,16.043249,0.013028,0.00833,0.0416686415672302,27.053278096516927,719.7290929034352,4.419323974475264,1.3710431149229407,1.354242152068764,1008,/tmp/ShineRunner-41723c7c-dd21-443c-ae25-e838e1669903,0
814,True,63.118029,18.387998,0.078511,0.086257,0.0296865423520406,29.3794233083725,520.4023406840861,2.129932496324181,1.1791427955031395,1.491726803407073,219,/tmp/ShineRunner-be97bca7-8c58-4053-b37d-b49bb3a546c5,0
815,True,46.715521,15.045351,0.08341,0.068901,0.0138228257497151,27.83991427024205,818.9512933604419,3.013249522075057,1.240840096026659,1.024252599943429,886,/tmp/ShineRunner-69bbaae3-1d75-485c-a484-71e64d1e4ded,0
816,True,61.870929,20.401332,0.28336,0.264598,0.0270626743634541,29.27188056310018,616.0661946050823,1.308309558406472,1.2910552136600018,0.9988629486411812,803,/tmp/ShineRunner-a6a5e067-9511-4b7f-8b85-49cb51da2dcc,0
817,True,47.6894,14.69963,0.155833,0.159381,0.0563361843427022,29.52529589335124,735.9044449403882,2.0290055625140666,1.2295255921781063,0.8132792787626386,879,/tmp/ShineRunner-1df84d3b-419c-4b7f-b35e-63c550565231,0
819,True,52.267435,15.982909,0.012638,0.010489,0.0385461688041687,30.9106435696284,708.470453042537,4.510728207230568,1.1140317898243666,1.4125118624418973,704,/tmp/ShineRunner-665a0d33-6a6f-4f7b-adf6-4b16859bac30,0
820,True,50.607855,16.486372,0.026101,0.02648,0.0562119325002034,30.92806958754857,545.9038848057389,2.9748486891388897,1.3818607507273557,1.215993866790086,852,/tmp/ShineRunner-c6fdb7ad-b421-4624-bcd4-2d6dc0b4fba1,0
