success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
True,44.510039,13.772009,0.01536,0.009509,0.0005600214004516602,17.086883767445883,682.2993564419448,4.332989813759923,1.194990858901292,1.1530959395691753,120,/tmp/ShineRunner-c648d8f0-a66d-4226-b817-48d21b3dd12e,0
True,49.762759,15.778933,0.003388,0.005767,0.000811298688252767,32.50905288457871,609.9260877817869,4.799619687721133,1.2474873042665422,1.443935122899711,92,/tmp/ShineRunner-7889d1fd-871f-4037-97f7-0a7b4eaefa16,0
True,32.845618,10.320803,0.017875,0.016716,0.0013331095377604166,34.350053381919864,661.7439216934144,3.8088352970778945,1.351625049021095,0.8030763276852668,88,/tmp/ShineRunner-1881b4b7-48a0-4a56-a24b-159af7f20030,0
True,52.468738,18.455383,0.13119,0.120802,0.002710258960723877,19.815375141302745,515.4642099514604,1.7685981880873443,1.4677435010671616,0.9865067700855434,123,/tmp/ShineRunner-7f7f455c-d249-46a7-ac3e-0626594c23f8,0
True,39.549232,12.872314,0.036609,0.030444,0.0025355060895284015,16.863893949985503,711.498158518225,3.505189855769277,1.3386878115125,0.9459762750193477,128,/tmp/ShineRunner-9f2fe955-7f60-4290-979d-1696ef2e9dd8,0
True,68.772464,24.439327,0.51,0.51,0.0011526028315226237,20.96086640357971,988.1682069972157,0.9891912553459405,1.4841814232058823,1.2131440285593271,117,/tmp/ShineRunner-744b9516-908f-45bd-9a11-b6820e471d9f,0
True,55.496959,17.255336,0.04943,0.050332,0.004108273983001709,18.443778745333354,949.4417561218143,3.8477784845978027,1.024933545384556,1.3550954916514457,122,/tmp/ShineRunner-685d935d-ef87-403f-82ec-a50a20e0871d,0
True,58.490639,19.074648,0.51,0.51,0.0017982045809427896,19.98335591554642,868.4196858666837,1.257068794593215,1.250837890431285,0.8385076403617859,121,/tmp/ShineRunner-eb9d8beb-1b91-48ed-b2c3-202e00aa596e,0
True,67.373862,23.207673,0.24812,0.231242,0.002081493536631266,36.26167833010356,806.5129150636494,1.627125483378768,1.4580521821044385,1.49258108176291,81,/tmp/ShineRunner-267f3d1b-2ae9-45bc-a76f-dbfcdff4a72a,0
True,45.941819,14.841749,0.030444,0.028372,0.0021198272705078127,19.9492848555247,608.9970245957375,3.2095726981759074,1.3308964562602341,1.0939327009953559,124,/tmp/ShineRunner-38ff6c78-3076-4350-a4d6-31be8991cddc,0
True,42.639667,13.737045,0.029315,0.024961,0.001840504010518392,26.687390875816345,975.8874070830643,4.4979855094105,1.1806864948011935,1.067123510595411,106,/tmp/ShineRunner-2407176c-9aab-48bc-97d3-b70b96ded1c2,0
True,63.658946,20.183084,0.165136,0.15283,0.0033114314079284667,19.4204216559728,918.4084925800562,2.4025359727442264,1.1461431924253702,1.4242303441278636,125,/tmp/ShineRunner-7b19b74e-1615-4774-bd5e-2c031fe0a426,0
True,35.950957,10.511531,0.024009,0.021909,0.0024395227432250977,38.02041734457016,794.3873265758157,4.169426035508514,1.1286735790781677,0.832620897050947,78,/tmp/ShineRunner-bc0ccede-8d78-48c5-afeb-16bcaf272877,0
True,43.936027,15.258109,0.037906,0.027427,0.0020785888036092123,17.2612188855807,919.9376422911882,4.119173124805093,1.3798350193537772,1.1479792066849768,130,/tmp/ShineRunner-18ef5493-9312-45e3-8f10-1322fa4859e0,0
True,53.151517,18.393719,0.262754,0.251721,0.002160938580830892,27.113449553648632,961.5142219699919,1.8477230224758388,1.3273946908302605,0.968578146211803,101,/tmp/ShineRunner-b1d060bf-852d-4dc7-94b2-eab1f6b24e41,0
True,63.153126,21.580708,0.269433,0.263406,0.001912224292755127,31.818517490228018,669.9293274432421,1.3798337657004596,1.3919794433750212,1.1268298053182662,103,/tmp/ShineRunner-b20f5308-5f18-40c3-afeb-cbcc477a3847,0
True,57.765821,17.512278,0.185004,0.181803,0.0009969115257263184,24.838862140973408,578.3873032778502,1.6574746504426003,1.1607204959727824,0.9515098486095668,115,/tmp/ShineRunner-acd21def-a0cc-41d1-b681-4c8011250512,0
True,84.869403,27.211027,0.51,0.51,0.001002192497253418,34.14457589785258,763.3339622989297,0.7115209728479386,1.2131258179433644,1.3905587845481933,97,/tmp/ShineRunner-35b22cc6-6303-44c3-bfa2-51e429170939,0
True,74.214021,21.751148,0.282846,0.285204,0.00041147867838541664,37.281379862626395,516.4538314566016,1.1585072532296181,1.110610687173903,1.3364989906549454,91,/tmp/ShineRunner-d997c0a0-b35f-48c7-ad3b-dea91bc0d448,0
